weekday,weekday_name,hour,hour_weight,daily_weight,raw_weight
6,Dimanche,9,0.091666666667,0.92,0.08433333333364001
6,Dimanche,10,0.066666666667,0.92,0.06133333333364
6,Dimanche,11,0.058333333333,0.92,0.05366666666636
6,Dimanche,12,0.0625,0.92,0.0575
6,Dimanche,13,0.1,0.92,0.09200000000000001
6,Dimanche,14,0.116666666667,0.92,0.10733333333364001
6,Dimanche,15,0.083333333333,0.92,0.07666666666636
6,Dimanche,16,0.05,0.92,0.046000000000000006
6,Dimanche,17,0.041666666667,0.92,0.03833333333364
6,Dimanche,18,0.058333333333,0.92,0.05366666666636
6,Dimanche,19,0.075,0.92,0.069
6,Dimanche,20,0.070833333333,0.92,0.06516666666636
6,Dimanche,21,0.05,0.92,0.046000000000000006
6,Dimanche,22,0.020833333333,0.92,0.01916666666636
6,Dimanche,23,0.008333333333,0.92,0.007666666666359999
6,Dimanche,24,0.01,0.92,0.0092
